,Time,Open,High,Low,Close,Volume,RSI,SMA,ATR,Volume_MA,lower_pinbar_length,upper_pinbar_length
100,2024-03-06 14:00:00,1.5884,1.7525,1.5451,1.7508,10436310.0,62.49820025221724,1.637033333333333,0.05380899999999997,1342073.29,0.043300000000000116,0.0017000000000000348
101,2024-03-06 16:00:00,1.7503,1.7544,1.545,1.5603,11041282.0,47.42048744180734,1.6332333333333329,0.05536490999999996,1449187.58,0.015300000000000091,0.0040999999999999925
102,2024-03-06 18:00:00,1.5603,1.5721,1.5407,1.5611,2806956.0,47.47779219147985,1.624066666666666,0.05512526089999996,1475240.53,0.019600000000000062,0.01100000000000012
103,2024-03-06 20:00:00,1.5609,1.5818,1.5546,1.5721,1734092.0,48.31195637798365,1.5644999999999996,0.05484600829099996,1488461.38,0.006299999999999972,0.009700000000000042
104,2024-03-06 22:00:00,1.5722,1.5894,1.5668,1.5797,1752423.0,48.91562999910676,1.5709666666666662,0.05452354820808995,1501822.95,0.005400000000000071,0.00969999999999982
105,2024-03-07 00:00:00,1.5795,1.6191,1.5726,1.6186,905502.0,52.00539345577585,1.590133333333333,0.05444331272600905,1505298.46,0.006899999999999906,0.0004999999999999449
106,2024-03-07 02:00:00,1.6188,1.6188,1.5696,1.5718,1257616.0,48.22618350027829,1.5900333333333332,0.054390879598748956,1514534.89,0.0021999999999999797,0.0
107,2024-03-07 04:00:00,1.5713,1.5964,1.5456,1.5527,766657.0,46.73354860486975,1.581033333333333,0.054354970802761464,1519753.9,0.007099999999999884,0.025100000000000122
108,2024-03-07 06:00:00,1.5526,1.5927,1.5465,1.5844,455036.0,49.52577686244666,1.5696333333333332,0.05427342109473385,1520241.04,0.006099999999999994,0.008299999999999974
109,2024-03-07 08:00:00,1.5843,1.5966,1.5783,1.5828,501567.0,49.385062584968395,1.5733,0.05391368688378651,1520073.79,0.0044999999999999485,0.012299999999999978
110,2024-03-07 10:00:00,1.583,1.5956,1.5736,1.5827,490783.0,49.375620147173,1.5833000000000002,0.05359455001494865,1522457.08,0.009099999999999886,0.012599999999999945
111,2024-03-07 12:00:00,1.5829,1.5903,1.5664,1.5858,459346.0,49.69671346048981,1.5837666666666668,0.05329760451479917,1484861.5,0.01649999999999996,0.0044999999999999485
112,2024-03-07 14:00:00,1.5858,1.5989,1.5556,1.5898,979052.0,50.13619430246696,1.5861000000000003,0.053197628469651176,1445850.45,0.030200000000000005,0.009099999999999886
113,2024-03-07 16:00:00,1.5899,1.5921,1.5703,1.5845,607038.0,49.518867893404135,1.5867000000000004,0.05288365218495466,1431846.8,0.01419999999999999,0.0021999999999999797
114,2024-03-07 18:00:00,1.5845,1.5996,1.5785,1.5956,428829.0,50.88291041553224,1.5899666666666672,0.052565815663105114,1421026.04,0.006000000000000005,0.0040000000000000036
115,2024-03-07 20:00:00,1.5955,1.6029,1.5863,1.6015,453288.0,51.631044172776384,1.593866666666667,0.05220615750647406,1418233.32,0.009199999999999875,0.0014000000000000679
116,2024-03-07 22:00:00,1.6015,1.6089,1.595,1.6044,299366.0,52.017906543062,1.6005000000000003,0.05182309593140932,1411046.89,0.00649999999999995,0.0044999999999999485
117,2024-03-08 00:00:00,1.6048,1.6262,1.603,1.6065,624853.0,52.31532953778476,1.6041333333333334,0.051536864972095225,1391289.99,0.0018000000000000238,0.01970000000000005
118,2024-03-08 02:00:00,1.6062,1.6161,1.5939,1.5985,487599.0,51.017930523751446,1.6031333333333333,0.05124349632237427,1383729.25,0.0045999999999999375,0.00990000000000002
119,2024-03-08 04:00:00,1.5992,1.6043,1.5831,1.5993,391234.0,51.14839974683697,1.6014333333333333,0.05094306135915053,1382047.8,0.016100000000000003,0.0050000000000001155
120,2024-03-08 06:00:00,1.5991,1.609,1.59,1.5972,468945.0,50.766139552123704,1.5983333333333334,0.05062363074555902,1383964.61,0.007199999999999873,0.00990000000000002
121,2024-03-08 08:00:00,1.597,1.6046,1.5901,1.5988,263809.0,51.06620864346303,1.5984333333333334,0.050262394438103423,1381877.79,0.006899999999999906,0.005800000000000027
122,2024-03-08 10:00:00,1.5988,1.6182,1.5965,1.6074,578165.0,52.73373167443416,1.6011333333333333,0.04997677049372239,1382337.37,0.0022999999999999687,0.010800000000000143
123,2024-03-08 12:00:00,1.6077,1.6145,1.5988,1.6028,520243.0,51.718527969246765,1.603,0.049634002788785166,1382455.92,0.0040000000000000036,0.006800000000000139
124,2024-03-08 14:00:00,1.6031,1.6107,1.5013,1.5538,2466357.0,42.36289365086631,1.588,0.050231662760897314,1402486.65,0.05249999999999999,0.007600000000000051
125,2024-03-08 16:00:00,1.5538,1.6007,1.5204,1.5894,1807164.0,49.50914675933945,1.582,0.050532346133288344,1410457.37,0.033400000000000096,0.011300000000000088
126,2024-03-08 18:00:00,1.589,1.5977,1.5822,1.593,407491.0,50.18181559429647,1.5787333333333333,0.05018202267195546,1409723.55,0.006799999999999917,0.0046999999999999265
127,2024-03-08 20:00:00,1.5931,1.6032,1.585,1.5929,477214.0,50.16182415321988,1.5917666666666668,0.04986220244523591,1408301.55,0.007900000000000018,0.010099999999999998
128,2024-03-08 22:00:00,1.5932,1.6131,1.5889,1.6027,380314.0,52.17269598625425,1.5962000000000003,0.04960558042078356,1407164.07,0.0042999999999999705,0.010399999999999965
129,2024-03-09 00:00:00,1.6028,1.6153,1.6,1.6106,305850.0,53.79126791425583,1.6020666666666667,0.04926252461657572,1402432.43,0.0027999999999999137,0.0046999999999999265
130,2024-03-09 02:00:00,1.6107,1.634,1.604,1.6286,401395.0,57.33422460162717,1.613966666666667,0.049069899370409974,1402735.15,0.006699999999999928,0.005399999999999849
131,2024-03-09 04:00:00,1.6286,1.6731,1.628,1.6677,588653.0,63.82300677409732,1.6356333333333335,0.049030200376705885,1401623.37,0.000600000000000156,0.005400000000000071
132,2024-03-09 06:00:00,1.668,1.6893,1.6629,1.6675,666348.0,63.76958294029057,1.6546000000000003,0.048803898372938824,1402289.29,0.0045999999999999375,0.021300000000000097
133,2024-03-09 08:00:00,1.6677,1.6997,1.6671,1.689,673964.0,66.97035564833477,1.6747333333333334,0.04864185938920944,1404893.62,0.0005999999999999339,0.010699999999999932
134,2024-03-09 10:00:00,1.6892,1.7279,1.6735,1.6945,1528698.0,67.75514101573089,1.6836666666666666,0.04869944079531734,1416438.19,0.015700000000000047,0.033400000000000096
135,2024-03-09 12:00:00,1.6945,1.7576,1.692,1.7555,1363192.0,74.88309581704745,1.713,0.048868446387364164,1427534.06,0.0024999999999999467,0.0020999999999999908
136,2024-03-09 14:00:00,1.7555,1.7792,1.7037,1.7242,1570115.0,66.73163564455872,1.7247333333333332,0.049134761923490526,1440063.97,0.020499999999999963,0.023699999999999832
137,2024-03-09 16:00:00,1.7241,1.7289,1.706,1.712,752254.0,63.815691014701926,1.7305666666666666,0.048872414304255624,1444961.75,0.006000000000000005,0.0048000000000001375
